#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     1.34021     1.35013  0.00582514
         1.9           20     1.48473     1.49606  0.00629346
         1.8           20     1.67586     1.67483  0.00700498
         1.7           20     1.92298     1.88783  0.00820601
         1.6           20      2.2156     2.16815  0.00912884
         1.5           20     2.50094     2.49796   0.0124446
         1.4           20     2.90627     2.96088   0.0159861
         1.3           20     3.52389     3.58558    0.023637
         1.2           20     4.23455     4.40068   0.0295857
         1.1           20     5.42225     5.56277   0.0420638
           1           20     6.48813     7.27554   0.0665764
         0.9           20      8.8349     10.0382    0.126181
         0.8           20     15.3773     15.2399   0.0292201
         0.7           20     24.8086     24.7783   0.0410483
         0.6           20     43.9036     44.3745    0.102083
         0.5           20     79.1011     79.0645    0.137074
