#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20   -0.460996   -0.462024 0.000288071
         1.9           20   -0.481392   -0.482432 0.000279397
         1.8           20   -0.503148   -0.504422 0.000265922
         1.7           20   -0.526056   -0.528328 0.000284292
         1.6           20   -0.552476   -0.554547 0.000310395
         1.5           20   -0.580404   -0.582586 0.000319428
         1.4           20   -0.610152   -0.613637 0.000327029
         1.3           20   -0.644292   -0.646985 0.000375883
         1.2           20   -0.680436   -0.682863  0.00034841
         1.1           20    -0.71992   -0.721333 0.000429891
           1           20   -0.759148    -0.76167 0.000362415
         0.9           20   -0.802316   -0.804691 0.000410269
         0.8           20   -0.848737   -0.848373 6.78112e-05
         0.7           20   -0.892254   -0.892218  7.1376e-05
         0.6           20   -0.934752   -0.935292 0.000118998
         0.5           20   -0.974201   -0.974177 0.000133954
