#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     1.38992     1.35979  0.00490236
         1.9           20     1.50551     1.50753  0.00530942
         1.8           20     1.73848     1.68506  0.00786153
         1.7           20     1.88816     1.89894  0.00667369
         1.6           20     2.18638      2.1761  0.00712563
         1.5           20     2.50197     2.52497   0.0107997
         1.4           20     2.99597     2.92806   0.0116584
         1.3           20     3.49378     3.54458   0.0142993
         1.2           20     4.33989     4.43318   0.0235122
         1.1           20     5.30628     5.60349   0.0387703
           1           20     7.40646     7.47228   0.0403191
         0.9           20     11.1257     10.4124    0.104573
         0.8           20     15.3317     15.2206   0.0173704
         0.7           20     24.7103     24.6424   0.0363295
         0.6           20     44.4907     44.1698   0.0843287
         0.5           20     79.4443     79.0689    0.128305
