#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.19836     3.19836           0
           2     3.22451     3.21143  0.00924228
           3     3.24413     3.22233   0.0108244
           4     3.25767     3.23117   0.0111549
           5     3.26724     3.23838   0.0110122
           6     3.27268      3.2441    0.010557
           7     3.27265     3.24818  0.00980491
           8     3.26795     3.25065  0.00888549
           9      3.2639     3.25212  0.00801933
          10     3.26705     3.25361  0.00735509
          11     3.27734     3.25577  0.00699556
          12     3.28774     3.25844  0.00690122
          13     3.29219     3.26103   0.0068414
          14     3.28966     3.26308  0.00665134
          15      3.2832     3.26442   0.0063417
          16     3.27743     3.26523  0.00599725
          17     3.27525     3.26582  0.00567336
          18     3.27631      3.2664  0.00538801
          19     3.27891     3.26706  0.00514451
          20     3.28197     3.26781  0.00494096
          21     3.28483     3.26862   0.0047717
          22     3.28673     3.26944  0.00462529
          23     3.28668     3.27019  0.00448453
          24     3.28378     3.27076  0.00433327
          25     3.27775     3.27104  0.00416895
          26     3.26969     3.27098  0.00400893
          27     3.26192     3.27065  0.00387448
          28     3.25586     3.27012  0.00377195
          29     3.25046     3.26944  0.00370232
          30     3.24351     3.26858  0.00367847
          31     3.23309     3.26743  0.00373367
          32     3.21863     3.26591   0.0039161
          33      3.2047     3.26405  0.00421386
          34     3.20251     3.26224  0.00446177
          35     3.21778     3.26097  0.00451154
          36     3.24099     3.26042  0.00442022
          37     3.25941     3.26039  0.00430084
          38     3.26847      3.2606   0.0041929
          39     3.26963     3.26084  0.00409177
          40     3.26571     3.26096  0.00399129
          41     3.25901     3.26091  0.00389422
          42     3.25127     3.26068  0.00380826
          43     3.24387     3.26029  0.00373972
          44     3.23796     3.25978    0.003689
          45     3.23425     3.25921  0.00365039
          46     3.23281     3.25864  0.00361587
          47     3.23308      3.2581   0.0035796
          48     3.23407      3.2576  0.00353985
          49     3.23462     3.25713  0.00349851
          50     3.23351     3.25665  0.00346029
          51      3.2295     3.25612  0.00343316
          52     3.22211     3.25547  0.00342888
