#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.197678    0.196892 0.000394354
         1.9           20    0.214261    0.212652 0.000538125
         1.8           20    0.233284    0.229084 0.000440403
         1.7           20    0.251504     0.24846 0.000593619
         1.6           20    0.274946    0.270751 0.000703462
         1.5           20    0.301707    0.293816  0.00101575
         1.4           20     0.31959    0.316423 0.000944231
         1.3           20    0.346932     0.34403 0.000741635
         1.2           20    0.371631    0.368713  0.00145187
         1.1           20    0.396373    0.398069  0.00140503
           1           20    0.417673    0.420811  0.00134102
         0.9           20    0.446746    0.438812  0.00196118
         0.8           20     0.44397    0.440659 0.000432841
         0.7           20    0.435433    0.432816  0.00032396
         0.6           20    0.426389    0.423758 0.000420958
         0.5           20    0.325773    0.329682  0.00104659
