#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20   -0.461015   -0.462829 0.000282943
         1.9           20   -0.481608   -0.483283 0.000266103
         1.8           20   -0.503421   -0.505243 0.000260391
         1.7           20   -0.527242   -0.529521 0.000249039
         1.6           20   -0.553478   -0.555745 0.000282688
         1.5           20    -0.58143   -0.584112 0.000266055
         1.4           20   -0.612231   -0.615257 0.000250056
         1.3           20   -0.646575   -0.649387 0.000349965
         1.2           20   -0.683015   -0.685929 0.000301183
         1.1           20   -0.723264   -0.725306   0.0003958
           1           20   -0.764529   -0.767431 0.000375943
         0.9           20   -0.810638   -0.812999 0.000503907
         0.8           20   -0.861015    -0.86143 0.000114378
         0.7           20   -0.912404   -0.912894 0.000125679
         0.6           20   -0.964104   -0.964768 0.000197456
         0.5           20    -1.00406    -1.00361 9.72436e-05
