#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     0.01976   0.0272173  0.00125269
         1.9           20    0.020596    0.030368  0.00118314
         1.8           20    0.023632   0.0343305  0.00118719
         1.7           20     0.02691   0.0389068  0.00129976
         1.6           20    0.027508   0.0437072   0.0015385
         1.5           20     0.03692   0.0512275  0.00184745
         1.4           20    0.048752   0.0603909  0.00208979
         1.3           20    0.058532   0.0727346  0.00255777
         1.2           20     0.07516   0.0896604  0.00307772
         1.1           20    0.090024    0.110094   0.0030505
           1           20    0.137648    0.146645   0.0039055
         0.9           20    0.196494     0.19699   0.0049294
         0.8           20    0.281448    0.292089  0.00144386
         0.7           20    0.441694    0.447417   0.0018321
         0.6           20    0.651635     0.67382  0.00334162
         0.5           20    0.889417     0.88976  0.00171759
