#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.193016    0.197874 0.000677236
         1.9           20    0.212435    0.214065 0.000675031
         1.8           20    0.231258     0.23223 0.000817075
         1.7           20    0.250714     0.25158 0.000830962
         1.6           20    0.271292     0.27272 0.000767954
         1.5           20    0.295995    0.296811 0.000965714
         1.4           20    0.319621    0.321484 0.000937791
         1.3           20    0.354426    0.349497   0.0012186
         1.2           20     0.37948    0.379343  0.00142199
         1.1           20    0.399943    0.407794  0.00151624
           1           20    0.424849    0.436308  0.00195181
         0.9           20    0.453824    0.462897  0.00303302
         0.8           20    0.497017    0.499055 0.000503742
         0.7           20    0.528221    0.526534  0.00083454
         0.6           20    0.490784    0.488012 0.000865106
         0.5           20     0.25546    0.261333  0.00147079
