layers,neurons,activation,optimizer,loss,val_loss
1,8,sigmoid,sgd,mae,0.7165023684501648
1,16,linear,rmsprop,mae,0.717007577419281
1,8,linear,adam,mae,0.717207670211792
2,4,linear,adam,mae,0.7173225283622742
1,8,linear,rmsprop,mae,0.7181527614593506
2,16,linear,sgd,mae,0.719108521938324
3,16,linear,adam,mae,0.7202453017234802
1,4,sigmoid,sgd,mae,0.7202730774879456
1,4,linear,sgd,mae,0.7210750579833984
1,8,linear,sgd,mae,0.7214863300323486
1,16,sigmoid,adam,mae,0.7272251844406128
1,16,sigmoid,adam,mse,0.7294579148292542
2,16,linear,rmsprop,mae,0.730292558670044
1,8,sigmoid,adam,mse,0.7348129153251648
1,8,sigmoid,sgd,mse,0.7360586524009705
3,16,sigmoid,rmsprop,mse,0.7380804419517517
1,16,sigmoid,rmsprop,mse,0.7388918995857239
1,4,sigmoid,sgd,mse,0.7403087019920349
1,4,relu,adam,mae,0.7412112355232239
3,4,relu,rmsprop,mse,0.7416401505470276
1,4,relu,sgd,mae,0.742824375629425
2,8,sigmoid,rmsprop,mse,0.7441509962081909
3,8,linear,sgd,mae,0.7444502115249634
1,4,linear,rmsprop,mae,0.7494294047355652
1,16,sigmoid,sgd,mae,0.7558853626251221
3,8,linear,sgd,mse,0.7594446539878845
1,4,linear,adam,mse,0.7617480754852295
3,8,linear,rmsprop,mse,0.7639142870903015
2,16,linear,sgd,mse,0.764821469783783
1,16,sigmoid,sgd,mse,0.7656617760658264
2,8,linear,sgd,mse,0.7677961587905884
3,16,linear,adam,mse,0.7680949568748474
3,16,sigmoid,adam,mse,0.7724260091781616
2,16,sigmoid,adam,mse,0.7754637002944946
1,8,sigmoid,rmsprop,mae,0.7760306596755981
3,4,linear,adam,mse,0.7774410843849182
1,4,linear,adam,mae,0.7774838209152222
1,8,sigmoid,adam,mae,0.7786576747894287
2,16,linear,rmsprop,mse,0.7794122099876404
1,4,linear,rmsprop,mse,0.7805748581886292
1,8,linear,adam,mse,0.7810564637184143
1,16,linear,rmsprop,mse,0.7810778617858887
1,16,linear,adam,mse,0.7815346717834473
1,8,linear,sgd,mse,0.782141923904419
1,16,sigmoid,rmsprop,mae,0.7825213670730591
3,4,linear,sgd,mse,0.7826169729232788
2,8,linear,rmsprop,mse,0.7828083634376526
2,4,linear,rmsprop,mse,0.7829879522323608
1,4,linear,sgd,mse,0.7839412093162537
2,16,linear,adam,mse,0.7847368717193604
2,4,linear,sgd,mse,0.7856321930885315
1,16,linear,sgd,mse,0.7879816293716431
1,8,linear,rmsprop,mse,0.7886403799057007
2,4,linear,adam,mse,0.7887707352638245
2,8,linear,adam,mse,0.790219247341156
3,16,linear,rmsprop,mse,0.7917283773422241
3,4,linear,rmsprop,mse,0.7957562208175659
3,8,linear,adam,mse,0.7978236675262451
3,16,sigmoid,rmsprop,mae,0.7988154888153076
3,16,linear,sgd,mse,0.8008720278739929
1,8,relu,rmsprop,mae,0.8145334124565125
1,4,relu,rmsprop,mae,0.8266724944114685
2,4,sigmoid,rmsprop,mae,0.8413903713226318
3,16,sigmoid,adam,mae,0.8506835699081421
2,16,sigmoid,sgd,mse,0.852389395236969
1,4,sigmoid,adam,mae,0.8673036098480225
2,8,sigmoid,rmsprop,mae,0.869426965713501
2,8,sigmoid,adam,mae,0.873522162437439
2,8,sigmoid,sgd,mae,0.8770439028739929
2,4,relu,adam,mse,0.8770490884780884
1,4,sigmoid,rmsprop,mae,0.8879083395004272
1,4,relu,rmsprop,mse,0.8908811807632446
3,8,sigmoid,adam,mae,0.8987377285957336
2,4,sigmoid,rmsprop,mse,0.8994362354278564
2,16,sigmoid,sgd,mae,0.908064603805542
3,4,relu,rmsprop,mae,0.908673107624054
2,4,relu,rmsprop,mse,0.9093194603919983
2,4,sigmoid,sgd,mae,0.9146125912666321
3,4,sigmoid,adam,mae,0.9195742607116699
3,8,sigmoid,sgd,mae,0.9280580282211304
3,8,sigmoid,rmsprop,mae,0.9303550720214844
3,4,sigmoid,sgd,mae,0.9328814148902893
3,16,sigmoid,sgd,mae,0.9336597919464111
2,8,sigmoid,sgd,mse,0.9543920159339905
2,4,sigmoid,sgd,mse,0.9547939896583557
1,8,sigmoid,rmsprop,mse,0.9690478444099426
3,8,sigmoid,rmsprop,mse,0.9830314517021179
3,8,sigmoid,adam,mse,1.0323179960250854
3,16,sigmoid,sgd,mse,1.0412338972091675
3,8,sigmoid,sgd,mse,1.0619794130325317
3,4,sigmoid,sgd,mse,1.064470648765564
2,8,sigmoid,adam,mse,1.0681346654891968
2,4,sigmoid,adam,mae,1.1377414464950562
3,4,sigmoid,rmsprop,mse,1.211961269378662
1,4,sigmoid,rmsprop,mse,1.2669227123260498
1,4,relu,adam,mse,1.3235383033752441
1,4,sigmoid,adam,mse,1.8782380819320679
2,4,sigmoid,adam,mse,2.221487045288086
3,4,sigmoid,adam,mse,2.525867223739624
3,4,sigmoid,rmsprop,mae,2.551668643951416
