#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         159    -4.65004     -4.6972    0.163885
         160    -4.77102    -4.69766    0.162861
         161    -4.76436    -4.69808     0.16185
         162    -4.30763    -4.69567    0.160869
         163    -4.24346    -4.69289    0.159906
         164    -4.12709    -4.68944    0.158968
         165    -4.52031    -4.68842    0.158008
         166    -4.53424    -4.68749    0.157059
         167    -4.39735    -4.68575    0.156128
         168    -4.50544    -4.68468    0.155202
         169    -4.36737     -4.6828    0.154295
         170    -3.81219    -4.67768    0.153473
         171    -3.49368    -4.67076    0.152731
         172    -3.39466    -4.66334    0.152024
         173     -3.8054    -4.65838    0.151226
         174    -4.04142    -4.65483    0.150398
         175    -4.06878    -4.65148    0.149576
         176    -4.13437    -4.64855    0.148755
         177    -4.21562     -4.6461    0.147935
         178    -4.14603    -4.64329     0.14713
         179    -3.97106    -4.63953    0.146356
         180    -3.82107    -4.63499    0.145614
         181    -3.72959    -4.62999    0.144895
         182    -3.40385    -4.62325    0.144256
         183    -3.21547    -4.61556    0.143672
         184    -3.21036    -4.60792    0.143094
         185    -3.32253    -4.60097    0.142489
         186    -3.13523    -4.59309    0.141941
         187    -3.50829    -4.58729      0.1413
         188    -3.58785    -4.58197    0.140649
         189    -3.86439    -4.57818    0.139956
         190    -3.99981    -4.57513    0.139252
         191     -4.0674    -4.57247    0.138549
         192    -4.05337    -4.56977    0.137853
         193    -3.97444    -4.56669    0.137174
         194    -3.82355    -4.56286     0.13652
         195    -3.54887    -4.55766    0.135919
         196    -3.39552    -4.55173    0.135355
         197    -3.33136    -4.54553    0.134809
         198    -3.56775    -4.54059    0.134219
         199    -3.67416    -4.53624    0.133615
         200    -3.79216    -4.53252    0.132999
