#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         178     13.3916     13.7157   0.0980786
         179     13.3463     13.7136   0.0975524
         180     13.1958     13.7108   0.0970528
         181     13.1412     13.7076   0.0965676
         182     12.9718     13.7036   0.0961216
         183     12.8383     13.6988   0.0957126
         184     12.7815     13.6939   0.0953222
         185     12.8675     13.6894   0.0949115
         186     12.7548     13.6844   0.0945342
         187     13.0026     13.6807   0.0940989
         188     13.0516     13.6774   0.0936579
         189     13.2397     13.6751   0.0931909
         190     13.3223     13.6732    0.092719
         191     13.4002     13.6718   0.0922445
         192     13.3785     13.6702   0.0917767
         193      13.304     13.6683   0.0913208
         194     13.2213      13.666   0.0908792
         195     13.0579     13.6629   0.0904666
         196     12.9455     13.6593   0.0900791
         197     12.8874     13.6553    0.089707
         198       13.01     13.6521   0.0893131
         199     13.0859     13.6492   0.0889096
         200     13.2048      13.647   0.0884928
