#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.198116    0.197027 0.000517804
         1.9           20    0.216481    0.212849  0.00062986
         1.8           20    0.229467    0.229005 0.000470727
         1.7           20    0.249574    0.248365 0.000662337
         1.6           20    0.274251    0.270762  0.00061217
         1.5           20    0.299988      0.2936 0.000989464
         1.4           20    0.319921    0.316286 0.000769314
         1.3           20    0.350114    0.343846 0.000799131
         1.2           20    0.371288    0.368283  0.00133011
         1.1           20    0.405673    0.398206  0.00107184
           1           20    0.431799    0.420707   0.0015641
         0.9           20    0.444085    0.438593  0.00225474
         0.8           20    0.453288    0.444794  0.00248714
         0.7           20    0.444191    0.431784  0.00326231
         0.6           20    0.408324    0.424266   0.0027078
         0.5           20    0.368877    0.326437  0.00685182
