#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     2.69538     2.69889  0.00775413
         1.9           20     2.85606     2.84053  0.00875988
         1.8           20     3.04036     3.01173  0.00932613
         1.7           20      3.2127      3.2043   0.0121365
         1.6           20     3.45254     3.46488   0.0138208
         1.5           20     3.70354     3.74404   0.0227009
         1.4           20     4.08198     4.14715   0.0219127
         1.3           20     4.46932     4.65921   0.0304721
         1.2           20     5.03238     5.28239   0.0353515
         1.1           20     5.90643     6.13282    0.053344
           1           20     6.58631     7.30057   0.0765017
         0.9           20     7.56422     9.05969    0.134687
         0.8           20     11.3155     12.0631    0.213528
         0.7           20      17.118     16.9384     0.31585
         0.6           20     29.0923     26.3505    0.524717
         0.5           20     39.8938     38.3192    0.502321
