#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.193199     0.19732  0.00057118
         1.9           20     0.20895     0.21297 0.000551778
         1.8           20    0.228336    0.230315 0.000574212
         1.7           20    0.247572    0.249719 0.000494932
         1.6           20    0.266491    0.270173 0.000565781
         1.5           20    0.287951    0.293511 0.000701052
         1.4           20    0.310142    0.316485 0.000759129
         1.3           20    0.336155    0.342537  0.00119168
         1.2           20    0.370868    0.371607 0.000947311
         1.1           20    0.392381      0.3956  0.00133878
           1           20    0.406368     0.41604  0.00139096
         0.9           20    0.417428      0.4324  0.00207982
         0.8           20    0.417414    0.436959  0.00309482
         0.7           20    0.427906    0.426463  0.00391729
         0.6           20    0.399608    0.413446  0.00493659
         0.5           20    0.306963    0.346416  0.00722577
