#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.023588   0.0275422   0.0011234
         1.9           20     0.02647   0.0308701  0.00111363
         1.8           20    0.031228   0.0348089 0.000979362
         1.7           20    0.034282   0.0395295  0.00110608
         1.6           20    0.035922   0.0443524  0.00135413
         1.5           20     0.04551   0.0516582  0.00126249
         1.4           20    0.056656   0.0610559  0.00155577
         1.3           20    0.075762    0.073565  0.00173773
         1.2           20    0.084942   0.0903073  0.00251924
         1.1           20    0.097566    0.110338  0.00332808
           1           20    0.134656    0.146714   0.0041178
         0.9           20    0.193678    0.196475  0.00530315
         0.8           20    0.285466    0.287637  0.00588266
         0.7           20    0.428544    0.444826  0.00758954
         0.6           20    0.799424    0.707125   0.0163387
         0.5           20    0.903908     0.90165   0.0121296
