        # Block          VALUE    ERROR_VALUE             MU          SIGMA
            128      -0.325359     0.00228338       0.592732       0.738707
            129      -0.279185      0.0024401       0.552151       0.673894
            130      -0.279185      0.0024401       0.552151       0.673894
            131      -0.279185      0.0024401       0.552151       0.673894
            132      -0.279185      0.0024401       0.552151       0.673894
            133      -0.229069     0.00235824       0.512685       0.656288
            134      -0.259075     0.00225504       0.547399       0.628695
            135      -0.259075     0.00225504       0.547399       0.628695
            136      -0.259075     0.00225504       0.547399       0.628695
            137      -0.259075     0.00225504       0.547399       0.628695
            138      -0.259075     0.00225504       0.547399       0.628695
            139       -0.26942     0.00213787       0.547114       0.659578
            140       -0.26942     0.00213787       0.547114       0.659578
            141      -0.270481     0.00211162       0.545437       0.659137
            142      -0.305507     0.00235687       0.576295       0.679062
            143       -0.28269     0.00256841       0.550244       0.698197
            144       -0.28269     0.00256841       0.550244       0.698197
            145      -0.275543       0.002032       0.553705       0.662511
            146      -0.275543       0.002032       0.553705       0.662511
            147      -0.382468     0.00255712       0.696243       0.712838
            148      -0.382468     0.00255712       0.696243       0.712838
            149      -0.430878     0.00131326       0.750159       0.645671
            150      -0.441889     0.00138707       0.780646       0.598479
            151      -0.392998     0.00263098        0.78945       0.540152
            152      -0.398584     0.00248907       0.795327       0.545247
            153      -0.376498     0.00245432       0.758925       0.535148
            154      -0.376498     0.00245432       0.758925       0.535148
            155      -0.407615     0.00196533       0.736602       0.561793
            156      -0.407615     0.00196533       0.736602       0.561793
            157      -0.417158     0.00133655       0.748027       0.570566
            158      -0.435269     0.00139005       0.749037       0.627154
            159      -0.434342     0.00123855       0.745102        0.61832
            160      -0.431696     0.00144615       0.748959       0.646301
            161      -0.432847     0.00130459       0.745932        0.63065
            162      -0.432847     0.00130459       0.745932        0.63065
            163      -0.426323      0.0019946       0.765897       0.661033
            164      -0.426323      0.0019946       0.765897       0.661033
            165      -0.410832      0.0019652       0.727136       0.681738
            166       -0.42727     0.00177664       0.774274        0.67194
            167      -0.410523     0.00226931       0.753056       0.683795
            168      -0.426742     0.00199145       0.775509       0.670254
            169      -0.419588      0.0016527       0.747173       0.667993
            170      -0.417987      0.0018222       0.744137       0.670995
            171      -0.417987      0.0018222       0.744137       0.670995
            172      -0.410913     0.00205856       0.719575       0.675529
            173      -0.409526     0.00181124       0.718889       0.673722
            174      -0.417399      0.0019426       0.742936        0.67364
            175       -0.41848     0.00185001       0.746191       0.671632
            176      -0.430033     0.00167987       0.760323       0.655677
            177      -0.442007     0.00153277       0.777568       0.630922
            178      -0.439098     0.00152114        0.77981       0.639839
            179      -0.436676     0.00126759        0.75962       0.636924
            180      -0.436676     0.00126759        0.75962       0.636924
