#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     2.16581     2.16572  0.00145291
         169     2.16144     2.16569  0.00144453
         170      2.1597     2.16566  0.00143646
         171     2.16164     2.16564  0.00142826
         172     2.16555     2.16563  0.00141995
         173     2.16846     2.16565  0.00141184
         174     2.16817     2.16567   0.0014038
         175     2.16371     2.16565  0.00139582
         176     2.15566      2.1656  0.00138904
         177     2.14716     2.16549   0.0013851
         178     2.14282     2.16537  0.00138316
         179     2.14421     2.16525  0.00138047
         180     2.14853     2.16515  0.00137593
         181     2.15292     2.16509  0.00136998
         182     2.15672     2.16504  0.00136323
         183     2.16015     2.16501  0.00135604
         184     2.16285       2.165  0.00134872
         185     2.16357       2.165  0.00134145
         186     2.16073     2.16497  0.00133444
         187     2.15442     2.16492  0.00132849
         188     2.14926     2.16483  0.00132403
         189     2.15228     2.16477  0.00131869
         190     2.16352     2.16476  0.00131177
         191      2.1761     2.16482  0.00130624
         192     2.18508     2.16492  0.00130369
         193      2.1892     2.16505  0.00130299
         194     2.18802     2.16517  0.00130164
         195     2.18125     2.16525  0.00129758
         196     2.17119     2.16528  0.00129131
         197     2.16427     2.16528  0.00128477
         198      2.1644     2.16527  0.00127829
         199     2.16673     2.16528  0.00127188
         200     2.16558     2.16528  0.00126552
         201     2.16163     2.16526  0.00125936
         202     2.15929     2.16523  0.00125347
         203     2.16147     2.16521  0.00124743
         204     2.16744     2.16523  0.00124137
         205      2.1745     2.16527  0.00123613
         206     2.18045     2.16534  0.00123233
         207     2.18464     2.16544  0.00122989
         208     2.18755     2.16554  0.00122857
         209     2.19009     2.16566  0.00122829
         210     2.19304     2.16579  0.00122934
         211     2.19668     2.16594   0.0012322
         212     2.20068      2.1661  0.00123724
         213      2.2042     2.16628  0.00124429
         214     2.20636     2.16647   0.0012525
         215     2.20654     2.16665  0.00126046
         216     2.20424     2.16683  0.00126658
         217     2.19868     2.16698  0.00126922
         218     2.18957     2.16708  0.00126762
         219     2.18141     2.16714  0.00126352
         220      2.1834     2.16722  0.00125994
         221     2.19433     2.16734  0.00126019
         222     2.19975     2.16749  0.00126295
         223     2.18966     2.16759  0.00126119
         224     2.16925     2.16759  0.00125559
         225     2.15904     2.16756  0.00125058
         226     2.17087     2.16757  0.00124513
         227     2.19202     2.16768   0.0012443
         228     2.20893     2.16786  0.00125192
         229     2.21872     2.16808    0.001266
         230     2.22321     2.16832  0.00128298
         231     2.22469     2.16856  0.00130043
         232     2.22492     2.16881  0.00131732
         233     2.22474     2.16905  0.00133336
         234     2.22398     2.16928  0.00134817
         235     2.22187     2.16951  0.00136088
         236      2.2176     2.16971  0.00137029
         237     2.21089     2.16988  0.00137548
         238     2.20266     2.17002  0.00137657
         239     2.19535     2.17013  0.00137489
         240     2.19135     2.17022    0.001372
         241     2.18935      2.1703   0.0013686
         242      2.1828     2.17035  0.00136392
         243     2.16696     2.17033  0.00135838
         244      2.1554     2.17027  0.00135419
         245     2.16797     2.17026   0.0013487
         246     2.19151     2.17035  0.00134598
         247     2.20686      2.1705  0.00134862
         248     2.21298     2.17067  0.00135402
         249     2.21422     2.17084  0.00135983
         250     2.21345     2.17101  0.00136503
         251     2.21193     2.17118  0.00136929
         252     2.21019     2.17133  0.00137258
         253      2.2084     2.17148  0.00137495
         254      2.2067     2.17162  0.00137651
         255     2.20535     2.17175  0.00137746
         256     2.20473     2.17188  0.00137809
         257     2.20506     2.17201  0.00137876
         258     2.20617     2.17214  0.00137976
         259     2.20743     2.17228  0.00138114
         260     2.20796     2.17241  0.00138263
         261     2.20688     2.17254  0.00138363
         262     2.20345     2.17266  0.00138337
         263     2.19744     2.17276  0.00138131
         264     2.18997     2.17282  0.00137762
         265     2.18354     2.17286  0.00137301
         266     2.17987     2.17289   0.0013681
         267     2.17795     2.17291  0.00136311
         268     2.17609     2.17292  0.00135808
         269     2.17442     2.17293  0.00135304
         270     2.17451     2.17293  0.00134804
         271      2.1779     2.17295  0.00134319
         272     2.18513     2.17299    0.001339
         273     2.19501     2.17307  0.00133652
         274     2.20507     2.17319  0.00133673
         275     2.21328     2.17334   0.0013398
         276     2.21895      2.1735   0.0013451
         277     2.22266     2.17368   0.0013519
         278     2.22595     2.17387  0.00136004
         279     2.23026     2.17407  0.00137011
         280     2.23527     2.17429  0.00138254
         281     2.23854     2.17452   0.0013964
         282     2.23752     2.17474  0.00140921
         283     2.23223     2.17494   0.0014188
         284     2.22685     2.17513  0.00142552
         285      2.2265     2.17531  0.00143187
         286     2.23087      2.1755  0.00143999
         287     2.23482     2.17571  0.00144973
         288     2.23412     2.17591  0.00145881
         289     2.22725     2.17609  0.00146454
         290     2.21444     2.17622  0.00146545
         291     2.19722     2.17629  0.00146219
         292     2.17885      2.1763  0.00145721
         293     2.16467     2.17626  0.00145277
         294     2.16081     2.17621  0.00144878
         295     2.17059     2.17619    0.001444
         296     2.19098     2.17624  0.00143998
         297      2.2135     2.17637  0.00144059
         298     2.22992     2.17655  0.00144692
         299     2.23643     2.17675  0.00145588
         300      2.2334     2.17693  0.00146322
         301     2.22462     2.17709  0.00146691
         302      2.2165     2.17722  0.00146784
         303     2.21388     2.17734  0.00146798
         304     2.21641     2.17747  0.00146876
         305     2.22073     2.17761  0.00147078
         306     2.22344     2.17776  0.00147358
         307     2.22244     2.17791  0.00147594
         308     2.21739     2.17804  0.00147671
         309     2.20931     2.17814  0.00147539
         310     2.20024     2.17821  0.00147235
         311     2.19323     2.17826  0.00146841
         312     2.19092      2.1783  0.00146427
         313     2.19271     2.17835  0.00146031
         314     2.19509      2.1784  0.00145663
         315     2.19486     2.17845  0.00145295
         316     2.19059     2.17849  0.00144886
         317     2.18243      2.1785  0.00144434
         318     2.17302     2.17848   0.0014399
         319     2.16796     2.17845  0.00143577
         320     2.17081     2.17843  0.00143148
         321     2.17822     2.17843  0.00142702
         322     2.18469     2.17845  0.00142272
         323     2.18808     2.17848  0.00141863
         324     2.18893     2.17851  0.00141461
         325      2.1884     2.17854  0.00141059
         326     2.18741     2.17857  0.00140652
         327     2.18651     2.17859  0.00140243
         328     2.18589     2.17861  0.00139833
         329     2.18541     2.17863  0.00139424
         330     2.18454     2.17865  0.00139013
         331      2.1823     2.17866  0.00138597
         332     2.17729     2.17866   0.0013818
         333     2.16777     2.17863  0.00137804
         334     2.15251     2.17855  0.00137613
         335     2.13348     2.17841  0.00137858
         336     2.11995     2.17824  0.00138541
         337     2.12232     2.17807   0.0013912
         338     2.13819     2.17796  0.00139208
         339      2.1577      2.1779  0.00138926
         340     2.17446     2.17789  0.00138521
         341     2.18605     2.17791  0.00138135
         342     2.19223     2.17795  0.00137795
