     #Bin   #Single_Part_Bin  #Global_Part_Bin  Error_Global_Calculation           1           0  0.00799817 0.000363525
           2   0.0654729   0.0419774 0.000970111
           3     0.18005    0.100367  0.00129857
           4    0.222608    0.157451  0.00168264
           5    0.258618    0.226461  0.00208241
           6    0.189871    0.307628  0.00230836
           7    0.304449    0.355638  0.00281215
           8    0.383016    0.390826  0.00315426
           9    0.392837     0.47878  0.00542547
          10     0.45831    0.388683  0.00330004
          11    0.360101    0.370608  0.00247044
          12   0.0982093    0.256895  0.00196565
          13    0.229155     0.15095  0.00162865
          14    0.163682    0.102965  0.00129221
          15    0.163682   0.0837447  0.00125138
          16   0.0327364   0.0407211 0.000752773
          17   0.0327364   0.0318713 0.000899842
          18           0    0.011609 0.000417184
          19           0   0.0166649 0.000604937
          20           0  0.00834499 0.000422681
