#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         156     16.0591     19.2092    0.155059
         157     16.1147     19.1895    0.155319
         158      16.141     19.1702     0.15553
         159     16.1347     19.1511    0.155719
         160     16.1029     19.1321    0.155907
         161      16.057      19.113    0.156104
         162     16.0034     19.0938    0.156316
         163     15.9372     19.0744    0.156552
         164     15.8498     19.0547    0.156828
         165     15.7492     19.0347    0.157151
         166      15.671     19.0144    0.157506
         167     15.6543     18.9943    0.157842
         168     15.6964     18.9747    0.158119
         169     15.7543     18.9556    0.158327
         170     15.7866      18.937     0.15849
         171     15.7756     18.9185    0.158637
         172     15.7199     18.8999    0.158801
         173     15.6258      18.881    0.159007
         174     15.5136     18.8616    0.159267
         175     15.4275      18.842    0.159561
         176     15.4082     18.8225    0.159843
         177      15.447     18.8034    0.160073
         178     15.5037     18.7849    0.160244
         179     15.5522     18.7668    0.160363
         180     15.5841     18.7491    0.160444
         181      15.595     18.7317    0.160501
         182     15.5823     18.7144    0.160549
         183     15.5487     18.6971    0.160601
         184     15.5026     18.6798    0.160664
         185     15.4543     18.6623    0.160739
         186     15.4119     18.6448    0.160822
         187     15.3786     18.6274    0.160908
         188     15.3521       18.61    0.160992
         189     15.3277     18.5926    0.161074
         190     15.3011     18.5753    0.161155
         191     15.2707      18.558    0.161238
         192     15.2383     18.5407    0.161322
         193     15.2067     18.5234    0.161409
         194     15.1763     18.5061    0.161496
         195     15.1444     18.4889    0.161585
         196     15.1094     18.4717    0.161678
         197     15.0741     18.4544    0.161775
         198     15.0418     18.4372    0.161873
         199     15.0126       18.42    0.161972
         200     14.9847     18.4028     0.16207
         201     14.9571     18.3857    0.162168
         202     14.9292     18.3685    0.162266
         203     14.8987     18.3515    0.162364
         204     14.8583     18.3343    0.162469
         205     14.7944     18.3171    0.162591
         206     14.6956     18.2995    0.162749
         207     14.5756     18.2815    0.162954
         208     14.4848     18.2632     0.16319
         209     14.4554      18.245    0.163423
         210     14.4583      18.227    0.163637
         211     14.4563     18.2091    0.163834
         212     14.4475     18.1914    0.164019
         213     14.4465     18.1738    0.164189
         214      14.461     18.1564    0.164336
         215     14.4863     18.1394    0.164456
         216     14.5118     18.1226    0.164549
         217      14.529      18.106    0.164622
         218     14.5348     18.0896     0.16468
         219     14.5306     18.0734    0.164728
         220     14.5199     18.0572    0.164769
         221     14.5058     18.0412    0.164806
         222     14.4907     18.0252    0.164837
         223     14.4755     18.0093    0.164865
         224     14.4601     17.9934    0.164889
         225     14.4435     17.9776    0.164909
         226     14.4238     17.9619    0.164927
         227     14.3985     17.9462    0.164946
         228     14.3646     17.9305    0.164969
         229     14.3204     17.9147       0.165
         230     14.2681     17.8989    0.165043
         231     14.2174     17.8829    0.165096
         232     14.1822      17.867    0.165153
         233     14.1713     17.8511    0.165204
         234      14.179     17.8354    0.165242
         235     14.1913     17.8199    0.165265
         236      14.198     17.8046    0.165276
         237     14.1975     17.7894    0.165277
         238     14.1938     17.7743    0.165272
         239     14.1922     17.7593    0.165259
         240     14.1959     17.7444    0.165236
         241      14.205     17.7297    0.165202
         242     14.2177     17.7152    0.165155
         243     14.2316     17.7009    0.165096
         244     14.2443     17.6867    0.165026
         245     14.2542     17.6727    0.164947
         246     14.2592     17.6588    0.164859
         247     14.2569     17.6451    0.164766
         248     14.2442     17.6313    0.164671
         249     14.2189     17.6176    0.164579
         250     14.1856     17.6039    0.164492
         251     14.1604     17.5902    0.164408
         252     14.1636     17.5766    0.164317
         253     14.1961     17.5632     0.16421
         254     14.2295     17.5501    0.164087
         255     14.2265     17.5371     0.16396
         256     14.1632     17.5239    0.163849
         257      14.042     17.5103     0.16377
         258     13.9068     17.4964     0.16373
         259     13.8341     17.4822    0.163707
         260      13.876     17.4684    0.163664
         261      14.009     17.4551    0.163573
         262     14.1619     17.4425    0.163431
         263     14.2806     17.4305    0.163251
         264     14.3511     17.4189    0.163049
         265     14.3837     17.4074    0.162835
         266     14.3936     17.3961    0.162617
         267      14.393     17.3848    0.162396
         268       14.39     17.3737    0.162174
         269     14.3888     17.3626    0.161951
         270     14.3914     17.3516    0.161724
         271     14.3976     17.3407    0.161494
         272     14.4064     17.3299    0.161261
         273     14.4157     17.3192    0.161023
         274      14.423     17.3086    0.160782
         275     14.4247     17.2981    0.160539
         276     14.4168     17.2877    0.160296
         277     14.3944     17.2772    0.160057
