0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 16 15 2 13 8 7 11 14 33 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 13 8 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 23 10 25 9 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 25 9 23 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 18 28 26 4 24 27 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 18 28 26 4 24 27 12 5 10 23 9 25 
0 17 30 19 8 7 14 11 33 21 31 29 6 3 22 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 27 13 2 15 16 20 1 32 18 28 26 4 24 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 27 13 2 15 16 20 1 32 18 28 26 4 24 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 7 8 27 13 2 15 16 20 1 32 18 28 26 4 24 12 5 23 10 9 25 11 
0 17 30 19 22 3 6 29 31 21 33 15 2 13 8 7 14 11 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 25 23 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 9 
0 17 30 19 21 3 6 29 31 22 33 11 14 7 8 13 2 16 20 1 32 18 28 26 4 24 12 5 15 10 23 27 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 27 12 10 23 5 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 14 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 14 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 2 15 24 20 13 1 32 18 28 26 4 16 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 1 20 16 32 18 28 26 4 24 12 25 9 23 10 27 5 
0 17 30 19 22 3 6 29 31 21 33 14 11 24 4 26 28 18 32 1 20 16 15 2 13 8 7 12 5 27 25 9 23 10 
0 17 30 22 19 3 6 29 31 21 33 11 14 7 8 25 9 23 10 27 5 12 24 4 26 28 18 32 1 15 16 20 2 13 
0 30 19 22 3 17 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 3 6 29 22 31 21 33 14 11 10 23 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 27 9 5 25 
0 17 19 22 3 6 29 31 21 33 11 14 7 10 27 5 12 23 9 25 24 4 26 28 18 32 1 20 16 15 2 13 8 30 
0 17 30 19 8 7 14 11 33 21 31 29 6 3 22 13 2 16 20 1 32 18 28 26 4 24 12 5 27 15 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 13 8 2 15 16 20 32 18 1 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 23 10 5 12 27 24 4 28 26 18 32 1 20 16 15 2 13 8 7 33 14 11 9 25 
0 25 23 17 30 19 22 3 6 29 31 21 33 11 9 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 14 
0 17 30 19 22 3 6 25 9 23 10 27 5 12 24 4 26 28 18 32 1 20 16 15 2 13 29 31 21 33 14 7 8 11 
0 17 30 19 22 3 6 29 31 21 23 10 5 12 27 24 4 28 26 18 32 1 20 16 15 2 13 8 7 14 11 33 9 25 
0 17 30 3 19 22 6 29 31 25 9 23 10 27 5 12 24 4 26 28 18 32 1 20 16 15 2 13 8 7 11 14 33 21 
0 17 14 19 30 22 3 6 29 31 21 33 11 7 8 13 2 5 12 24 4 26 28 18 32 1 20 16 15 27 10 23 9 25 
0 17 30 19 22 6 29 31 3 21 11 32 33 14 7 8 13 2 15 16 20 1 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 32 18 1 28 26 4 24 27 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 32 18 1 28 26 4 24 27 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 4 24 12 5 27 10 23 26 9 25 
0 9 17 30 19 22 3 20 1 6 29 31 21 33 14 11 7 8 23 10 27 5 12 24 4 26 28 18 32 16 15 2 13 25 
0 17 30 19 21 14 11 33 22 31 29 6 3 7 8 27 13 2 15 16 20 1 32 18 28 26 4 24 12 5 10 23 9 25 
0 17 30 19 22 3 6 29 31 25 9 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 23 
0 17 30 19 22 3 6 29 31 21 33 7 14 11 8 32 18 28 26 4 24 12 13 2 15 16 20 1 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 18 28 26 4 24 12 5 27 10 23 25 9 32 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 15 16 28 26 4 24 12 5 27 10 23 9 25 18 32 1 20 2 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 10 27 9 5 25 23 
0 17 33 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 16 19 22 3 6 29 31 21 30 14 11 7 8 13 2 15 
0 17 33 20 1 32 18 28 26 4 24 12 5 27 10 23 9 25 16 19 22 3 6 29 31 21 30 14 11 7 8 13 2 15 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 25 23 10 27 5 12 24 4 26 28 16 20 1 32 18 9 
0 17 30 19 22 3 6 29 33 21 31 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 25 10 9 23 
0 17 30 19 22 3 20 1 6 29 31 21 33 11 14 7 26 8 13 2 15 16 32 18 28 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 33 21 31 14 11 7 12 13 2 15 16 20 1 32 18 28 26 4 24 8 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 25 9 23 10 8 13 2 15 16 20 1 32 18 28 5 7 12 24 4 26 27 
0 17 30 19 22 3 20 1 6 29 31 21 33 14 7 8 13 2 15 11 16 32 18 28 26 5 12 24 4 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 9 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 27 12 5 10 23 14 25 
0 17 30 19 21 11 33 14 7 8 22 25 9 23 10 27 5 12 24 4 26 28 18 32 1 20 16 15 2 13 3 6 29 31 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 13 8 2 15 16 20 32 18 1 28 26 4 24 12 5 27 25 9 23 10 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 13 8 2 15 16 20 32 18 1 28 26 4 24 12 5 27 25 9 23 10 
0 17 30 19 22 3 6 29 31 27 5 12 24 4 26 28 18 1 20 16 15 2 13 8 7 11 14 33 21 32 10 23 9 25 
0 17 30 22 3 6 29 31 21 19 33 14 11 13 8 7 2 15 16 20 1 32 18 23 27 28 26 4 24 12 5 10 9 25 
0 17 30 19 22 3 6 29 21 31 33 20 14 7 8 13 2 15 11 16 1 32 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 14 11 7 8 13 2 15 16 20 32 18 1 28 26 4 24 12 5 25 27 23 10 9 
0 17 30 19 22 6 29 31 21 33 14 11 7 3 8 27 13 2 15 16 20 1 32 18 28 26 4 24 12 5 10 23 9 25 
0 17 30 19 20 1 22 3 6 29 31 21 33 26 28 18 32 16 15 2 13 8 14 11 7 4 24 12 5 27 10 23 9 25 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 15 16 28 26 4 24 12 5 27 10 23 9 25 18 32 1 2 20 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 32 18 1 28 26 4 24 12 5 23 10 25 27 9 
0 17 30 19 22 3 25 23 6 29 31 21 33 11 9 10 27 5 12 24 4 26 28 18 32 1 20 16 15 2 13 8 7 14 
0 17 30 19 22 3 6 29 9 25 23 31 21 33 14 11 7 8 13 2 15 16 20 1 32 18 28 26 4 24 12 5 27 10 
0 17 30 19 22 3 12 6 29 31 21 33 11 14 7 8 27 13 2 15 16 20 1 32 18 28 26 4 24 5 23 10 9 25 
0 17 21 11 33 14 7 30 19 22 32 6 29 31 3 8 13 2 15 16 20 1 18 28 26 4 24 12 5 27 10 23 9 25 
0 17 30 22 3 6 29 31 21 19 33 14 11 13 8 7 2 15 16 20 1 32 18 23 10 27 5 12 24 4 26 28 25 9 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 27 18 28 26 4 24 5 23 10 12 25 9 
0 17 30 19 23 10 27 5 12 24 4 26 28 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 18 9 25 
0 17 30 19 23 10 27 5 12 24 4 26 28 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 18 9 25 
0 17 30 19 23 10 27 5 12 24 4 26 28 22 3 6 29 31 21 33 11 14 7 8 13 2 15 16 20 1 32 18 9 25 
0 17 30 22 3 6 29 31 21 33 20 1 32 18 28 26 4 24 12 5 27 10 23 16 15 2 14 11 7 8 13 9 25 19 
0 17 30 19 22 3 6 29 31 21 7 14 11 33 8 13 2 32 27 12 15 16 1 20 18 28 26 4 24 5 10 23 9 25 
0 17 30 19 22 3 6 25 23 29 31 21 33 11 9 10 27 5 12 24 4 26 28 18 32 1 20 16 15 2 13 8 7 14 
0 17 30 19 22 3 6 29 31 21 33 11 14 7 8 27 13 2 15 16 20 1 32 18 23 10 5 12 24 4 26 28 9 25 
