        # Block          VALUE    ERROR_VALUE             MU          SIGMA
              0      -0.387658     0.00282982            0.7            0.7
              1      -0.387658     0.00282982            0.7            0.7
              2      -0.387658     0.00282982            0.7            0.7
              3      -0.387658     0.00282982            0.7            0.7
              4      -0.387658     0.00282982            0.7            0.7
              5      -0.387658     0.00282982            0.7            0.7
              6      -0.387658     0.00282982            0.7            0.7
              7      -0.387658     0.00282982            0.7            0.7
              8      -0.387658     0.00282982            0.7            0.7
              9       0.118967     0.00480766       0.355795       0.556695
             10       0.118967     0.00480766       0.355795       0.556695
             11      -0.248657     0.00471467       0.355795       0.981549
             12      -0.248657     0.00471467       0.355795       0.981549
             13      -0.248657     0.00471467       0.355795       0.981549
             14      -0.248657     0.00471467       0.355795       0.981549
             15      -0.248657     0.00471467       0.355795       0.981549
             16      -0.248657     0.00471467       0.355795       0.981549
             17      -0.248657     0.00471467       0.355795       0.981549
             18      -0.248657     0.00471467       0.355795       0.981549
             19      -0.248657     0.00471467       0.355795       0.981549
             20      -0.248657     0.00471467       0.355795       0.981549
             21       0.779626     0.00943984       0.355795       0.317701
             22     -0.0203903     0.00361945       0.449632       0.530275
             23     -0.0203903     0.00361945       0.449632       0.530275
             24     -0.0203903     0.00361945       0.449632       0.530275
             25      -0.221226     0.00563115       0.449632       0.982116
             26      -0.221226     0.00563115       0.449632       0.982116
             27      -0.221226     0.00563115       0.449632       0.982116
             28      -0.101045     0.00295711       0.449632        0.60149
             29     -0.0752857     0.00332388       0.449632       0.581907
             30       0.597476      0.0197013        1.01987       0.950269
             31       0.597476      0.0197013        1.01987       0.950269
             32       0.597476      0.0197013        1.01987       0.950269
             33       0.597476      0.0197013        1.01987       0.950269
             34       0.597476      0.0197013        1.01987       0.950269
             35       0.597476      0.0197013        1.01987       0.950269
             36      -0.170729     0.00772972       0.728776       0.907635
             37      -0.243557     0.00490639       0.459638       0.933396
             38        0.13266     0.00470069       0.459638       0.425602
             39      -0.017395      0.0112728        0.73619       0.996786
