# Block           MU            SIGMA
         229            0.770315            -0.632935
         230            0.770344            -0.633938
         231            0.770344            -0.633938
         232            0.770339            -0.631615
         233            0.772731            -0.632271
         234            0.774489            -0.633055
         235            0.776328            -0.62956
         236            0.776328            -0.62956
         237            0.775798            -0.633067
         238            0.773918            -0.628358
         239            0.772173            -0.627935
         240            0.772173            -0.627935
         241            0.772173            -0.627935
         242            0.772114            -0.625426
         243            0.768899            -0.627847
         244            0.768899            -0.627847
         245            0.769734            -0.626322
         246            0.771441            -0.625986
         247            0.77265            -0.625697
         248            0.774104            -0.625947
         249            0.77431            -0.625633
