#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10698     1.10698           0
           2     1.09921     1.10309  0.00274786
           3     1.11171     1.10596  0.00297513
           4     1.07879     1.09917  0.00629173
           5     1.10898     1.10113  0.00533073
           6     1.10674     1.10207  0.00452341
           7     1.10168     1.10201  0.00387754
           8     1.09726     1.10142  0.00343808
           9     1.10788     1.10214  0.00313008
          10     1.09484     1.10141  0.00290089
          11     1.10885     1.10208  0.00271488
          12     1.09019     1.10109  0.00266333
          13     1.08656     1.09997  0.00268291
          14     1.11016      1.1007  0.00258806
          15     1.07963      1.0993  0.00277051
          16     1.05771      1.0967  0.00361677
          17      1.1193     1.09803  0.00364027
          18     1.10085     1.09818   0.0034414
          19     1.12807     1.09976  0.00360188
          20     1.10449     1.09999  0.00342956
          21     1.10552     1.10026  0.00327633
          22     1.09096     1.09983  0.00315455
          23     1.11405     1.10045  0.00307739
          24     1.10121     1.10048  0.00294933
          25     1.11459     1.10105  0.00288479
          26     1.12916     1.10213  0.00296954
          27     1.10091     1.10208   0.0028599
          28     1.09535     1.10184  0.00276785
          29     1.08865     1.10139  0.00270952
          30     1.08917     1.10098  0.00264964
          31     1.09268     1.10071  0.00257768
          32     1.08623     1.10026  0.00253656
          33     1.09594     1.10013  0.00246307
          34     1.09822     1.10007  0.00239128
          35     1.08807     1.09973  0.00234744
          36     1.09816     1.09969  0.00228263
          37     1.11366     1.10006  0.00225196
          38     1.08773     1.09974  0.00221599
          39     1.09158     1.09953  0.00216903
          40     1.09939     1.09953   0.0021148
          41     1.10361     1.09963  0.00206556
          42     1.14676     1.10075  0.00230112
          43     1.06818     1.09999  0.00236902
          44     1.09598      1.0999  0.00231693
          45     1.10209     1.09995  0.00226595
          46     1.07871     1.09949  0.00226325
          47     1.13232     1.10019  0.00232042
          48     1.10452     1.10028  0.00227384
          49     1.08844     1.10003  0.00224022
          50     1.10051     1.10004  0.00219543
          51     1.07803     1.09961  0.00219439
          52     1.10433      1.0997  0.00215407
          53     1.08225     1.09937  0.00213844
          54     1.10444     1.09947  0.00210089
          55     1.09647     1.09941   0.0020634
          56      1.0911     1.09927  0.00203188
          57      1.0942     1.09918  0.00199818
          58     1.11902     1.09952  0.00199281
          59     1.10873     1.09967  0.00196514
          60     1.07933     1.09934  0.00196141
          61      1.1031      1.0994  0.00193023
          62      1.0935      1.0993  0.00190144
          63     1.10077     1.09933   0.0018714
          64     1.10741     1.09945  0.00184642
          65      1.0906     1.09932  0.00182303
          66     1.06859     1.09885  0.00185391
          67     1.10929     1.09901  0.00183278
          68     1.08576     1.09881  0.00181615
          69     1.08016     1.09854  0.00180983
          70     1.08817     1.09839  0.00179003
          71     1.11215     1.09859  0.00177528
          72     1.10211     1.09864   0.0017513
          73     1.11245     1.09882   0.0017375
          74     1.10588     1.09892  0.00171664
          75     1.08403     1.09872   0.0017052
          76     1.10006     1.09874  0.00168285
          77     1.11648     1.09897  0.00167669
          78     1.10018     1.09898  0.00165527
          79     1.08212     1.09877  0.00164802
          80      1.0858     1.09861  0.00163538
          81     1.09869     1.09861  0.00161519
          82     1.12495     1.09893  0.00162712
          83     1.10528     1.09901  0.00160931
          84     1.11818     1.09924  0.00160626
          85     1.10003     1.09925  0.00158739
          86     1.12174     1.09951  0.00159034
          87     1.05738     1.09902  0.00164413
          88     1.08732     1.09889  0.00163082
          89     1.09276     1.09882  0.00161395
          90     1.11373     1.09899   0.0016045
          91     1.10522     1.09906  0.00158833
          92     1.09271     1.09899  0.00157256
          93     1.11019     1.09911  0.00156027
          94     1.10363     1.09915  0.00154441
          95     1.12553     1.09943  0.00155291
          96     1.10209     1.09946  0.00153698
          97     1.10776     1.09955  0.00152352
          98     1.09791     1.09953  0.00150807
          99     1.09961     1.09953  0.00149283
         100     1.11401     1.09967  0.00148491
