#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         179     20.0195     20.5705    0.146329
         180     19.7937     20.5661    0.145579
         181     19.7118     20.5614    0.144851
         182     19.4577     20.5554    0.144182
         183     19.2575     20.5483    0.143569
         184     19.1722     20.5408    0.142983
         185     19.3013     20.5341    0.142367
         186     19.1322     20.5265    0.141801
         187     19.5039     20.5211    0.141148
         188     19.5774     20.5161    0.140487
         189     19.8595     20.5126    0.139786
         190     19.9834     20.5098    0.139078
         191     20.1003     20.5077    0.138367
         192     20.0678     20.5054    0.137665
         193      19.956     20.5025    0.136981
         194     19.8319     20.4991    0.136319
         195     19.5868     20.4944      0.1357
         196     19.4183     20.4889    0.135119
         197     19.3311      20.483     0.13456
         198     19.5149     20.4781     0.13397
         199     19.6288     20.4739    0.133364
         200     19.8073     20.4705    0.132739
