#Block            VALUE          ERROR_VALUE
         213            -0.438333            0.0009679
         214            -0.438333            0.0009679
         215            -0.437332            0.000891566
         216            -0.436703            0.000876117
         217            -0.43794            0.000600018
         218            -0.438828            0.000819434
         219            -0.438369            0.000961599
         220            -0.438207            0.000834781
         221            -0.440301            0.000833354
         222            -0.440301            0.000833354
         223            -0.438683            0.00087201
         224            -0.440666            0.000720174
         225            -0.440666            0.000720174
         226            -0.439877            0.00096761
         227            -0.439877            0.00096761
         228            -0.439877            0.00096761
         229            -0.438947            0.000820306
         230            -0.440373            0.000825678
         231            -0.440373            0.000825678
         232            -0.439326            0.000796774
         233            -0.440581            0.000762491
         234            -0.440454            0.000761142
         235            -0.441032            0.000865623
         236            -0.441032            0.000865623
         237            -0.441187            0.00074215
         238            -0.441547            0.000775935
         239            -0.441734            0.000652209
         240            -0.441734            0.000652209
         241            -0.441734            0.000652209
         242            -0.438494            0.00095591
         243            -0.440297            0.00077992
         244            -0.440297            0.00077992
         245            -0.439996            0.000748751
         246            -0.440558            0.000829805
         247            -0.440201            0.000876992
         248            -0.441936            0.00078857
         249            -0.442078            0.000700398
