-0.551146 -0.592393 0.58763
0.420773 -0.547135 0.356704
0.769911 -0.48652 1.29181
0.275272 0.34601 1.54126
0.715331 0.64306 0.69385
0.851654 0.576902 -0.294603
0.822522 -0.00644123 0.5171
0.798635 0.695442 -0.194791
0.637136 0.404914 0.748348
1.38305 -0.231631 0.552324
1.22769 -0.415092 -0.418349
0.291432 -0.578804 -0.107513
0.116528 -0.284534 0.832069
0.394919 -0.245039 1.79172
-0.139132 -0.874042 1.22679
-0.265693 -0.716801 2.20621
-0.849581 -1.47643 2.49264
-1.59394 -1.07398 3.02552
-1.86382 -1.53757 3.86947
-2.6502 -2.14384 3.75094
-2.36411 -1.8009 4.64567
-1.96689 -1.51119 3.77487
-2.37469 -2.21623 3.19468
-2.28076 -2.23817 2.19935
-3.25403 -2.17718 1.97795
-2.53183 -1.52251 1.75476
-2.90711 -0.604621 1.8838
-2.83345 -0.730295 2.87314
-2.60923 -1.62171 2.47931
-2.66253 -1.86634 1.51116
-2.75538 -2.1715 0.563396
-3.1242 -2.54165 -0.289224
-2.52921 -1.7658 -0.499093
-2.60164 -2.53213 0.139265
-3.23879 -1.78238 -0.0393824
-3.00315 -1.70104 0.929048
-3.999 -1.74269 1.01002
-4.14513 -0.75763 1.10112
-4.11016 -1.75085 1.21196
-3.9967 -0.759798 1.28222
-4.03345 0.0156449 0.651875
-3.75407 -0.64932 1.34453
-4.04032 -0.590034 0.388209
-3.09205 -0.468159 0.0950753
-3.08265 -0.571651 -0.899511
-3.65435 -1.30405 -0.529722
-2.69818 -1.59546 -0.558255
-2.58885 -1.2554 -1.49228
-2.78689 -1.30999 -0.513611
-2.88734 -1.31862 -1.50852
-3.49049 -1.53933 -0.742025
-3.55607 -1.6017 0.253871
-3.36889 -0.689842 0.619221
-3.17968 -0.767307 -0.359655
-2.75034 -0.0524805 0.19233
-3.19347 0.207007 -0.665754
-2.64077 -0.622801 -0.588665
-2.87172 -0.753105 0.375536
-3.18886 -0.754212 -0.572842
-2.79864 -1.40989 -1.21923
-2.98787 -1.40668 -2.20116
-3.13069 -1.38831 -1.21158
-3.82304 -2.02438 -1.55227
-3.02862 -1.50224 -1.242
-3.09358 -1.40819 -0.248551
-3.15393 -1.93843 -1.09424
-3.29622 -2.16254 -0.130123
-2.43574 -2.67163 -0.110452
-3.21693 -3.28056 0.0271622
-3.70375 -3.44509 -0.830709
-4.44557 -2.86131 -1.16072
-4.41467 -1.92675 -0.80624
-4.12209 -1.99222 -1.76024
-4.17849 -1.02648 -2.01355
-4.23892 -0.985323 -3.01088
-4.5182 -1.66689 -2.33451
-3.97499 -0.828344 -2.37653
-3.50527 -0.967191 -3.24836
-3.50037 -0.96134 -4.24833
-2.84574 -1.23561 -3.54389
-3.17706 -0.919602 -2.65487
-3.1612 -0.88369 -3.65409
-3.16855 -0.227839 -2.89924
-3.66279 0.0099717 -2.06308
-3.46165 0.985838 -2.1481
-2.81597 0.700801 -2.85651
-2.15044 0.192361 -3.40292
-1.77619 0.193874 -4.33025
-1.92261 -0.466965 -5.06636
-1.99146 -1.08231 -5.8516
-2.0087 -1.1702 -4.85562
-1.91169 -0.736146 -3.95997
-0.974718 -1.04918 -4.11516
-1.58633 -1.21964 -4.88774
-2.35575 -0.617493 -4.67464
-2.99694 -0.12024 -5.25912
-3.60893 0.501614 -4.77049
-4.36788 0.691354 -5.39339
-4.99778 0.59852 -6.1645
-4.92632 0.883256 -5.20856
