 0	99.1127
 0.01	98.9468
 0.02	99.6045
 0.03	97.6965
 0.04	96.6484
 0.05	97.576
 0.06	98.5193
 0.07	98.6484
 0.08	101.47
 0.09	98.0797
 0.1	99.1559
 0.11	101.27
 0.12	100.448
 0.13	99.9503
 0.14	99.9731
 0.15	102.16
 0.16	100.568
 0.17	97.3878
 0.18	97.2029
 0.19	97.5746
 0.2	97.4885
 0.21	96.3355
 0.22	94.1194
 0.23	93.5485
 0.24	91.953
 0.25	91.9569
 0.26	87.0846
 0.27	87.3878
 0.28	87.3228
 0.29	88.2433
 0.3	84.2213
 0.31	83.7172
 0.32	82.8256
 0.33	83.7041
 0.34	83.9905
 0.35	84.3843
 0.36	83.6272
 0.37	82.7065
 0.38	81.3693
 0.39	80.5628
 0.4	82.2927
 0.41	82.5112
 0.42	85.75
 0.43	83.3406
 0.44	81.3928
 0.45	82.2962
 0.46	83.4964
 0.47	82.0835
 0.48	82.2199
 0.49	84.1453
 0.5	85.2063
