 0	105.758
 0.01	103.398
 0.02	101.434
 0.03	104.432
 0.04	106.061
 0.05	109.843
 0.06	106.779
 0.07	110.094
 0.08	110.342
 0.09	108.411
 0.1	108.192
 0.11	104.951
 0.12	107.524
 0.13	112.573
 0.14	112.534
 0.15	114.201
 0.16	117.995
 0.17	115.481
 0.18	115.764
 0.19	120.177
 0.2	122.722
 0.21	119.745
 0.22	117.676
 0.23	125.124
 0.24	128.886
 0.25	123.716
 0.26	125.125
 0.27	128.561
 0.28	127.098
 0.29	125.725
 0.3	125.016
 0.31	122.563
 0.32	123.613
 0.33	121.861
 0.34	121.446
 0.35	119.45
 0.36	114.381
 0.37	108.417
 0.38	106.271
 0.39	102.465
 0.4	103.039
 0.41	101.44
 0.42	100.619
 0.43	105.597
 0.44	105.983
 0.45	103.392
 0.46	104.767
 0.47	107.691
 0.48	108.754
 0.49	110.895
 0.5	109.82
