#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.026288   0.0280497 0.000908312
         1.9           20    0.025858   0.0293202  0.00103149
         1.8           20     0.03439   0.0351404  0.00114344
         1.7           20    0.034732   0.0384494 0.000911125
         1.6           20    0.039954   0.0424355  0.00105098
         1.5           20      0.0435   0.0502457 0.000801747
         1.4           20    0.058002   0.0582905    0.001169
         1.3           20     0.06821    0.070194   0.0014967
         1.2           20    0.076394   0.0838549  0.00239402
         1.1           20    0.105642    0.112075  0.00274331
           1           20    0.141636    0.144754  0.00322251
         0.9           20    0.222108    0.200779  0.00366467
         0.8           20    0.286318    0.284684  0.00648947
         0.7           20    0.466376    0.445757  0.00749758
         0.6           20    0.712416    0.648336   0.0155171
         0.5           20    0.910924    0.896002  0.00875655
