         1.9          100     1.04756     1.02808  0.00627817
        1.91          100     1.04756     1.02808  0.00627817
        1.92          100      1.0828     1.04471   0.0051567
        1.93          100     1.07385     1.04831  0.00529711
        1.94          100     1.04675     1.05628  0.00509704
        1.95          100     1.15542     1.07449  0.00650602
        1.96          100      1.1074     1.07128  0.00509267
        1.97          100     1.12048     1.08532  0.00387959
        1.98          100     1.10387     1.08998  0.00320003
        1.99          100     1.12037     1.10008  0.00541168
           2          100       1.035     1.10682  0.00511839
        2.01          100     1.17958     1.11911  0.00381662
        2.02          100     1.10653     1.11972  0.00348442
        2.03          100     1.21848     1.12004  0.00414647
        2.04          100     1.12277     1.12901   0.0038932
        2.05          100     1.05586     1.12431  0.00461415
        2.06          100     1.15357     1.12605  0.00473619
        2.07          100     1.11015      1.1393  0.00463192
        2.08          100     1.13872     1.13323  0.00535905
        2.09          100     1.08438     1.12807  0.00561832
         2.1          100     1.22553     1.16216   0.0055739
        2.11          100     1.15897     1.16949  0.00679528
        2.12          100      1.2587     1.17272  0.00446535
        2.13          100     1.19356     1.19273  0.00374934
        2.14          100     1.16013     1.19023   0.0045397
        2.15          100     1.28289     1.19989  0.00464633
        2.16          100     1.25354     1.21872  0.00574558
        2.17          100     1.15387      1.2216  0.00446775
        2.18          100     1.25699     1.22158  0.00463406
        2.19          100      1.2897     1.24032  0.00561624
         2.2          100     1.17875     1.24334   0.0050233
