#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         178     23.2555     28.1773    0.240366
         179     23.3283     28.1502    0.240545
         180     23.3762     28.1237    0.240666
         181     23.3926     28.0976    0.240752
         182     23.3735     28.0716    0.240824
         183     23.3231     28.0457    0.240902
         184     23.2539     28.0196    0.240996
         185     23.1814     27.9935    0.241108
         186     23.1179     27.9673    0.241233
         187     23.0679     27.9411    0.241361
         188     23.0281     27.9149    0.241488
         189     22.9915     27.8889    0.241611
         190     22.9516     27.8629    0.241733
         191     22.9061     27.8369    0.241856
         192     22.8574      27.811    0.241983
         193       22.81     27.7851    0.242113
         194     22.7644     27.7592    0.242244
         195     22.7166     27.7334    0.242378
         196     22.6642     27.7075    0.242517
         197     22.6111     27.6816    0.242662
         198     22.5627     27.6558     0.24281
         199     22.5189       27.63    0.242958
         200     22.4771     27.6042    0.243106
         201     22.4356     27.5785    0.243252
         202     22.3939     27.5528    0.243398
         203     22.3481     27.5272    0.243546
         204     22.2874     27.5015    0.243703
         205     22.1916     27.4756    0.243887
         206     22.0434     27.4492    0.244124
         207     21.8635     27.4222    0.244432
         208     21.7272     27.3949    0.244785
         209     21.6831     27.3675    0.245135
         210     21.6874     27.3405    0.245455
         211     21.6845     27.3137    0.245751
         212     21.6713     27.2871    0.246029
         213     21.6698     27.2607    0.246283
         214     21.6915     27.2347    0.246504
         215     21.7294     27.2091    0.246683
         216     21.7677     27.1839    0.246824
         217     21.7935      27.159    0.246934
         218     21.8022     27.1345     0.24702
         219     21.7959     27.1101    0.247092
         220     21.7798     27.0858    0.247154
         221     21.7587     27.0617    0.247209
         222      21.736     27.0378    0.247256
         223     21.7132     27.0139    0.247298
         224     21.6902     26.9901    0.247333
         225     21.6653     26.9664    0.247363
         226     21.6358     26.9429    0.247391
         227     21.5977     26.9193    0.247419
         228     21.5469     26.8957    0.247453
         229     21.4806     26.8721      0.2475
         230     21.4022     26.8483    0.247564
         231      21.326     26.8244    0.247644
         232     21.2734     26.8005     0.24773
         233      21.257     26.7767    0.247806
         234     21.2684     26.7532    0.247863
         235     21.2869     26.7299    0.247897
         236      21.297     26.7069    0.247913
         237     21.2962      26.684    0.247916
         238     21.2907     26.6614    0.247908
         239     21.2883     26.6389    0.247888
         240     21.2938     26.6166    0.247854
         241     21.3075     26.5946    0.247802
         242     21.3266     26.5728    0.247733
         243     21.3474     26.5513    0.247645
         244     21.3665     26.5301     0.24754
         245     21.3813     26.5091     0.24742
         246     21.3888     26.4882    0.247288
         247     21.3854     26.4676    0.247148
         248     21.3663      26.447    0.247006
         249     21.3284     26.4265    0.246868
         250     21.2784     26.4059    0.246738
         251     21.2406     26.3853    0.246612
         252     21.2455     26.3649    0.246475
         253     21.2941     26.3449    0.246314
         254     21.3442     26.3252     0.24613
         255     21.3398     26.3056     0.24594
         256     21.2448     26.2858    0.245773
         257     21.0631     26.2655    0.245655
         258     20.8603     26.2446    0.245595
         259     20.7512     26.2234    0.245561
         260      20.814     26.2026    0.245496
         261     21.0135     26.1827    0.245359
         262     21.2429     26.1638    0.245146
         263     21.4209     26.1458    0.244876
         264     21.5267     26.1283    0.244573
         265     21.5755     26.1111    0.244253
         266     21.5904     26.0941    0.243925
         267     21.5896     26.0772    0.243594
         268      21.585     26.0605    0.243261
         269     21.5833     26.0438    0.242926
         270      21.587     26.0273    0.242586
         271     21.5964      26.011    0.242241
         272     21.6096     25.9948    0.241891
         273     21.6236     25.9788    0.241534
         274     21.6344     25.9629    0.241172
         275     21.6371     25.9472    0.240808
         276     21.6252     25.9315    0.240444
         277     21.5916     25.9159    0.240086
         278     21.5291     25.9001     0.23974
         279     21.4349     25.8841    0.239415
         280     21.3167     25.8678    0.239115
         281     21.1988     25.8512     0.23884
         282     21.1158     25.8344    0.238583
         283     21.0917     25.8176    0.238328
         284     21.1228     25.8011    0.238061
         285     21.1848     25.7849    0.237776
         286     21.2548      25.769    0.237472
         287      21.321     25.7535     0.23715
         288     21.3797     25.7384    0.236812
         289     21.4303     25.7235    0.236461
         290     21.4725     25.7088      0.2361
         291     21.5046     25.6943     0.23573
         292     21.5232     25.6801    0.235355
         293     21.5238     25.6659    0.234979
         294     21.5012     25.6517    0.234606
         295     21.4513     25.6375    0.234243
         296     21.3737     25.6231    0.233894
         297     21.2767     25.6084    0.233564
         298     21.1786     25.5936    0.233252
         299     21.1008     25.5785    0.232956
         300     21.0534     25.5635    0.232667
         301     21.0304     25.5484    0.232381
         302     21.0195     25.5334    0.232095
         303     21.0117     25.5185    0.231808
         304     21.0026     25.5036    0.231521
         305      20.994     25.4888    0.231234
         306     20.9925     25.4741    0.230944
         307     21.0054     25.4596     0.23065
         308     21.0321     25.4452    0.230349
         309     21.0633      25.431     0.23004
         310     21.0873      25.417    0.229724
         311     21.0978     25.4031    0.229405
         312     21.0941     25.3893    0.229085
         313     21.0788     25.3755    0.228767
         314      21.057     25.3618    0.228451
         315     21.0372     25.3481    0.228138
         316     21.0322     25.3344    0.227824
         317      21.051     25.3209    0.227506
         318     21.0912     25.3076    0.227179
         319     21.1402     25.2945    0.226842
         320     21.1864     25.2817    0.226496
         321     21.2243     25.2691    0.226143
         322     21.2532     25.2566    0.225785
         323     21.2721     25.2442    0.225422
         324     21.2778      25.232    0.225059
         325     21.2648     25.2198    0.224697
         326     21.2256     25.2075    0.224342
         327     21.1524     25.1951    0.223998
         328     21.0407     25.1825    0.223673
         329     20.9014     25.1695    0.223371
         330     20.7738     25.1561    0.223091
         331     20.7127     25.1427    0.222821
         332     20.7418     25.1295    0.222543
         333     20.8378     25.1166    0.222248
         334     20.9651     25.1041     0.22193
         335     21.0967     25.0922     0.22159
         336     21.2102     25.0806    0.221231
         337     21.2901     25.0694     0.22086
         338     21.3345     25.0583    0.220483
         339     21.3582     25.0474    0.220103
         340     21.3835     25.0366    0.219719
         341     21.4241      25.026     0.21933
         342      21.476     25.0157    0.218934
         343     21.5256     25.0055    0.218532
         344      21.562     24.9955    0.218126
         345     21.5818     24.9856    0.217718
         346     21.5862     24.9758    0.217311
         347      21.577      24.966    0.216905
         348     21.5545     24.9562    0.216503
         349     21.5177     24.9463    0.216107
         350     21.4663     24.9364    0.215718
         351     21.4035     24.9263    0.215338
         352     21.3381     24.9161    0.214967
         353      21.281     24.9058    0.214605
         354     21.2389     24.8955    0.214249
         355     21.2131     24.8851    0.213896
         356     21.2047     24.8747    0.213545
         357     21.2156     24.8645    0.213193
         358     21.2457     24.8544    0.212837
         359     21.2911     24.8445    0.212475
         360     21.3438     24.8347    0.212107
         361     21.3931     24.8252    0.211734
         362     21.4314     24.8158    0.211356
         363     21.4589     24.8066    0.210976
         364     21.4815     24.7974    0.210594
         365     21.5031     24.7884    0.210211
         366      21.523     24.7795    0.209826
         367     21.5362     24.7707     0.20944
         368     21.5373     24.7619    0.209055
         369     21.5217     24.7531    0.208673
         370     21.4854     24.7443    0.208296
         371     21.4251     24.7353    0.207926
         372     21.3385     24.7262    0.207568
         373     21.2279     24.7168    0.207223
         374     21.1039     24.7071    0.206894
         375     20.9855     24.6972     0.20658
         376     20.8914     24.6871    0.206278
         377     20.8348     24.6769    0.205984
         378     20.8292     24.6667    0.205691
         379     20.8861     24.6567     0.20539
         380     20.9922     24.6471    0.205075
         381     21.1074     24.6378    0.204748
         382     21.1954     24.6288     0.20441
         383     21.2439     24.6199    0.204067
         384     21.2586     24.6112    0.203723
         385     21.2515     24.6025    0.203381
         386     21.2336     24.5937    0.203041
         387     21.2133      24.585    0.202704
         388     21.1953     24.5763     0.20237
         389     21.1815     24.5675    0.202038
         390     21.1719     24.5588    0.201707
         391     21.1651     24.5502    0.201378
         392     21.1592     24.5415     0.20105
         393     21.1521     24.5329    0.200723
         394     21.1405     24.5243    0.200399
         395     21.1201     24.5156    0.200077
         396      21.085      24.507    0.199759
         397      21.029     24.4982    0.199448
         398     20.9486     24.4893    0.199146
         399     20.8513     24.4802    0.198855
         400     20.7636     24.4709    0.198575
         401     20.7214     24.4615      0.1983
         402     20.7304     24.4523    0.198024
         403     20.7538     24.4431    0.197745
         404     20.7648      24.434    0.197465
         405     20.7869      24.425    0.197183
         406     20.8535     24.4162    0.196893
         407     20.9518     24.4077    0.196593
         408     21.0432     24.3994    0.196284
         409     21.1087     24.3914    0.195969
         410     21.1527     24.3835     0.19565
         411     21.1843     24.3757    0.195329
         412     21.2064      24.368    0.195006
         413      21.217     24.3604    0.194683
         414     21.2136     24.3528    0.194361
         415     21.1969     24.3452    0.194042
         416     21.1719     24.3375    0.193725
         417      21.147     24.3299    0.193412
         418     21.1285     24.3222    0.193101
         419     21.1123     24.3146    0.192792
         420     21.0854     24.3069    0.192486
         421     21.0374     24.2991    0.192185
         422     20.9734     24.2912    0.191891
         423     20.9154     24.2833    0.191604
