           1          500    0.632877    0.666741   0.0016527
         1.1          500    0.494477    0.512038 0.000878666
         1.2          500    0.575936    0.555506  0.00156772
         1.3          500    0.642215    0.593538   0.0019425
         1.4          500    0.632877    0.666741   0.0016527
         1.5          500    0.741137    0.729416  0.00136664
         1.6          500    0.836834     0.81886   0.0016337
         1.7          500     0.86645    0.851656  0.00229222
         1.8          500    0.890367    0.954671  0.00175194
         1.9          500     1.00861     1.01685  0.00177717
           2          500    0.982013     1.03102  0.00287121
         2.1          500     1.11982      1.1289  0.00158155
         2.2          500     1.20876     1.16132  0.00202883
