-1 0 0
-2 0 0
-3 0 0
-2 0 0
-1 0 0
-2 0 0
-1 0 0
-1 1 0
-1 0 0
0 0 0
0 0 1
-1 0 1
-1 -1 1
-2 -1 1
-1 -1 1
0 -1 1
0 -2 1
0 -3 1
0 -3 2
0 -2 2
0 -1 2
0 -2 2
0 -3 2
0 -3 1
0 -3 2
0 -4 2
0 -4 1
0 -5 1
0 -5 0
0 -5 1
0 -5 2
0 -6 2
0 -6 1
0 -6 0
1 -6 0
1 -5 0
1 -6 0
1 -7 0
0 -7 0
0 -6 0
0 -7 0
0 -8 0
0 -8 -1
0 -8 -2
0 -7 -2
0 -7 -1
-1 -7 -1
-1 -7 -2
0 -7 -2
0 -6 -2
0 -6 -3
0 -6 -2
0 -6 -1
0 -7 -1
0 -8 -1
0 -8 0
0 -8 1
1 -8 1
1 -8 0
1 -7 0
1 -6 0
1 -6 -1
2 -6 -1
2 -6 0
2 -5 0
1 -5 0
1 -5 1
1 -5 2
0 -5 2
0 -6 2
0 -7 2
1 -7 2
0 -7 2
1 -7 2
1 -7 3
1 -8 3
1 -9 3
1 -9 4
1 -9 3
1 -10 3
1 -10 4
1 -10 5
1 -11 5
2 -11 5
2 -11 6
2 -10 6
3 -10 6
4 -10 6
5 -10 6
5 -11 6
5 -11 7
5 -10 7
6 -10 7
6 -9 7
5 -9 7
4 -9 7
4 -9 6
3 -9 6
3 -9 5
3 -9 6
